period,ratio
2025-11-06,31.39841
2025-11-07,31.66226
2025-11-08,32.18997
2025-11-09,36.4116
2025-11-10,39.31398
2025-11-11,32.71767
2025-11-12,38.78627
2025-11-13,33.77308
2025-11-14,36.14775
2025-11-15,21.89973
2025-11-16,25.06596
2025-11-17,40.63324
2025-11-18,43.79947
2025-11-19,32.98153
2025-11-20,28.49604
2025-11-21,30.87071
2025-11-22,39.05013
2025-11-23,42.21635
2025-11-24,48.0211
2025-11-25,34.30079
2025-11-26,34.03693
2025-11-27,32.45382
2025-11-28,30.07915
2025-11-29,30.343
2025-11-30,31.13456
2025-12-01,48.54881
2025-12-02,38.52242
2025-12-03,41.16094
2025-12-04,37.99472
2025-12-05,37.46701
2025-12-06,30.87071
2025-12-07,34.03693
2025-12-08,36.93931
2025-12-09,38.52242
2025-12-10,27.96833
2025-12-11,40.89709
2025-12-12,37.73087
2025-12-13,30.343
2025-12-14,25.85751
2025-12-15,38.25857
2025-12-16,34.03693
2025-12-17,40.63324
2025-12-18,31.13456
2025-12-19,26.64907
2025-12-20,28.49604
2025-12-21,32.98153
2025-12-22,35.09234
2025-12-23,29.55145
2025-12-24,28.75989
2025-12-25,31.13456
2025-12-26,38.78627
2025-12-27,31.13456
2025-12-28,36.14775
2025-12-29,33.50923
2025-12-30,31.66226
2025-12-31,22.42744
2026-01-01,30.87071
2026-01-02,24.2744
2026-01-03,41.4248
2026-01-04,26.12137
2026-01-05,35.3562
2026-01-06,29.8153
2026-01-07,36.14775
2026-01-08,31.66226
2026-01-09,22.95514
2026-01-10,27.96833
2026-01-11,55.67282
2026-01-12,33.77308
2026-01-13,45.64643
2026-01-14,39.57783
2026-01-15,49.60422
2026-01-16,45.91029
2026-01-17,29.02374
2026-01-18,31.92612
2026-01-19,50.13192
2026-01-20,32.18997
2026-01-21,41.9525
2026-01-22,36.4116
2026-01-23,30.87071
2026-01-24,33.24538
2026-01-25,30.60686
2026-01-26,41.68865
2026-01-27,33.77308
2026-01-28,40.89709
2026-01-29,27.17678
2026-01-30,32.18997
2026-01-31,30.07915
2026-02-01,21.89973
2026-02-02,33.77308
2026-02-03,33.24538
2026-02-04,26.38522
2026-02-05,28.49604
2026-02-06,26.91292
2026-02-07,35.62005
2026-02-08,38.25857
2026-02-09,40.89709
2026-02-10,52.77044
2026-02-11,47.75725
2026-02-12,27.70448
